0.5,452.164
1,281.792
1.5,209.667
2,168.9
2.5,142.379
3,123.614
3.5,109.569
4,98.6252
4.5,89.835
5,82.6056
5.5,76.5457
6,71.3862
6.5,66.9355
7,63.0537
7.5,59.6356
8,56.6008
8.5,53.8868
9,51.4441
9.5,49.2329
10,47.2211
10.5,45.3822
11,43.6943
11.5,42.1392
12,40.7014
12.5,39.3677
13,38.1271
13.5,36.9699
14,35.8877
14.5,34.8733
15,33.9204
15.5,33.0235
16,32.1777
16.5,31.3785
17,30.6222
17.5,29.9053
18,29.2248
18.5,28.5779
19,27.9621
19.5,27.3752
20,26.8152
20.5,26.2801
21,25.7684
21.5,25.2785
22,24.809
22.5,24.3587
23,23.9264
23.5,23.5109
24,23.1113
24.5,22.7267
25,22.3563
25.5,21.9993
26,21.6548
26.5,21.3224
27,21.0013
27.5,20.6909
28,20.3908
28.5,20.1004
29,19.8192
29.5,19.5468
30,19.2828
30.5,19.0268
31,18.7785
31.5,18.5374
32,18.3033
32.5,18.0759
33,17.8548
33.5,17.6399
34,17.4308
34.5,17.2273
35,17.0292
35.5,16.8363
36,16.6484
36.5,16.4652
37,16.2867
37.5,16.1126
38,15.9427
38.5,15.7769
39,15.6151
39.5,15.4571
40,15.3028
40.5,15.152
41,15.0046
41.5,14.8606
42,14.7197
42.5,14.5819
43,14.4472
43.5,14.3153
44,14.1862
44.5,14.0598
45,13.9361
45.5,13.8149
46,13.6961
46.5,13.5797
47,13.4657
47.5,13.3539
48,13.2443
48.5,13.1368
49,13.0313
49.5,12.9279
50,12.8263
50.5,12.7267
51,12.6289
51.5,12.5329
52,12.4386
52.5,12.346
53,12.2551
53.5,12.1657
54,12.0779
54.5,11.9916
55,11.9068
55.5,11.8234
56,11.7415
56.5,11.6609
57,11.5816
57.5,11.5036
58,11.4269
58.5,11.3514
59,11.2771
59.5,11.2041
60,11.1321
60.5,11.0613
61,10.9916
61.5,10.9229
62,10.8553
62.5,10.7888
63,10.7232
63.5,10.6586
64,10.5949
64.5,10.5322
65,10.4704
65.5,10.4095
66,10.3495
66.5,10.2903
67,10.232
67.5,10.1744
68,10.1177
68.5,10.0618
69,10.0066
69.5,9.95224
70,9.89857
70.5,9.84563
71,9.7934
71.5,9.74186
72,9.691
72.5,9.64081
73,9.59128
73.5,9.54239
74,9.49413
74.5,9.44649
75,9.39945
75.5,9.35301
76,9.30715
76.5,9.26186
77,9.21714
77.5,9.17297
78,9.12933
78.5,9.08623
79,9.04366
79.5,9.00159
80,8.96003
80.5,8.91896
81,8.87838
81.5,8.83828
82,8.79865
82.5,8.75947
83,8.72075
83.5,8.68248
84,8.64464
84.5,8.60723
85,8.57025
85.5,8.53368
86,8.49752
86.5,8.46177
87,8.42641
87.5,8.39144
88,8.35685
88.5,8.32264
89,8.2888
89.5,8.25532
90,8.2222
90.5,8.18944
91,8.15703
91.5,8.12495
92,8.09322
92.5,8.06181
93,8.03073
93.5,7.99998
94,7.96954
94.5,7.93941
